observation_id,year,month,latitude,longitude,water_table_depth_ft,long_term_average_depth_ft,rock_type_code
140,2022,2,33.60131944,-85.3463583,45.8,65.9670730652361,6
539,2022,1,30.407872,-87.684638,23.2170967741935,3.7740108435968,2
577,2022,4,31.058611,-85.102222,31.58,3.20644634150988,3
707,2022,4,33.71806,-87.34689,19.3,15.4368333225151,3
719,2022,4,32.895792,-85.908277,28.25,65.1598040252054,6
1372,2022,1,34.690728,-86.583715,28.7170967741935,2.64989950771821,1
1494,2022,1,32.020654,-86.030427,33.861935483871,17.0258071111918,2
1733,2022,1,31.025555,-85.044444,23.5806451612903,5.82735174857079,3
2065,2022,5,34.18083,-85.8515,17.57,22.2939096749624,2
2464,2022,5,33.98017,-85.51979,21.35,10.6906413881595,1
2578,2022,10,34.815833,-85.798611,38.73,55.3397870341753,1
2864,2022,4,33.01598056,-91.29495,39.43,19.5831514390858,4
3251,2022,1,33.09944444,-93.1988889,253,21.263723956412,2
3573,2022,6,33.27777778,-91.6661111,81.39,0.200168513496066,4
6171,2022,10,34.00551389,-91.5086639,34.38,1.86714131346231,4
6309,2022,4,34.04437778,-91.3732194,22.72,8.55972527255638,4
6710,2022,6,34.12777778,-91.3541667,49.02,11.9106186211772,4
7179,2022,5,34.2733333,-91.3461111,111.44,17.2449676019865,4
7763,2022,4,34.4213361,-92.0064778,25.67,1.47027626192245,4
8672,2022,10,34.5039833,-92.0211139,38.5,1.90615224064182,4
8753,2022,1,34.51211667,-92.9796278,18.38,28.5644074871678,3
10361,2022,1,34.64055556,-91.6036111,111.64,14.520601985505,4
19188,2022,10,35.80417778,-89.9854417,4.24,0.557280011989711,4
19373,2022,4,35.8093083,-89.9992167,5.27,0.879340989781129,4
20487,2022,4,36.00125,-90.4279694,13.81,0.222004862385003,4
20793,2022,7,36.07527778,-90.6547222,87.61,6.76050665899293,4
22931,2022,1,33.1068888888889,-91.9245722222222,84.0890322580645,12.964291072887,4
25731,2022,10,31.3689111,-110.1192944,14.6,40.0353198272012,2
25912,2022,2,31.38844444,-110.1218611,42.38,59.4075897198658,2
26812,2022,1,31.50666667,-110.0852778,234.56,204.991343451876,2
28260,2022,3,31.8390361,-110.5840417,13.82,0.136443462889759,4
29490,2022,1,32.2631313,-111.2451023,222.22,11.5732555490225,2
31904,2022,3,32.87499444,-109.6638139,153.28,178.375131773056,2
36318,2022,12,34.23559027,-111.3562476,31.71,12.4298697257556,8
39257,2022,1,35.24465278,-110.8055028,23.19,1.13314765817063,2
39567,2022,5,35.90777446,-111.146807,230.76,356.146169688183,2
39654,2022,6,36.03804969,-111.2079171,203.03,478.208247233295,2
39753,2022,6,36.3088901,-109.7748348,310.42,68.8127771557451,2
39807,2022,5,36.53694246,-110.5729186,290.59,22.2834999818669,2
40111,2022,2,34.23,-111.36,16.9079310344828,126.399042917377,8
40140,2022,1,34.93,-112.4,410.901612903226,33.9768815744768,2
40299,2022,1,34.64,-109.92,170.661935483871,26.2728920532443,3
40461,2022,6,36.77,-112.43,482.4,5.26500069737667,1
41536,2022,1,31.59,-109.51,3.57935483870968,51.9033837043542,2
41804,2022,1,33.67,-112.43,329.348387096774,54.3913253849991,2
41994,2022,2,32.05,-110.69,169.3525,319.391436323909,2
43624,2022,3,36.82,-114.01,142.9,96.1497576115002,2
44026,2022,1,32.01,-109.37,16.0490322580645,11.6205606737327,10
44372,2022,1,35.76,-114.15,654.791290322581,228.39013081821,2
51677,2022,2,32.413528,-114.544278,180.95,93.5465771552616,2
63294,2022,1,36.4908336348382,-109.948172719957,374.461612903226,57.385618692552,2
63520,2022,1,36.5280532914231,-110.599030055646,216.843225806452,7.27278746186006,2
63554,2022,3,36.61,-113.95,23.3,265.355473518716,4
63787,2022,1,36.89,-113.96,267.876774193548,257.020184764902,2
64056,2022,1,32.55364444,-117.0616028,12.44,4.83757907433804,4
72683,2022,2,34.10414167,-117.28645,136.996666666667,0.394771629053403,4
78730,2022,1,34.42044444,-119.744361,7.79,7.86362202405353,2
89460,2022,8,34.6572051,-120.4926649,42.33,8.414764742488,4
105880,2022,8,36.67328277,-119.7793089,94.69,2.85852241356127,4
105996,2022,2,36.7601083,-120.313261,72.15,1.39441116487387,4
106114,2022,6,36.8903333,-120.6554167,149.21,3.00578225929347,4
106841,2022,1,37.63160016,-118.8390193,39.21,9.8252992766834,10
108085,2022,11,38.50075,-121.2113056,183.7,60.0261889391396,2
109471,2022,1,41.61124606,-121.2118976,330.32,29.4371853172016,9
113380,2022,2,33.94188889,-118.067611,107.66,15.8429114765273,4
120081,2022,1,34.75575,-120.29465,107.304301075269,43.5443125407961,2
124212,2022,1,36.45320686,-116.8281934,87.16,260.245781640768,4
124296,2022,3,36.48078889,-121.1560194,25.9,39.3760987126888,2
124798,2022,2,37.646,-118.96175,351.47,216.778783051396,10
125092,2022,6,38.2291111,-122.3415278,21.86,49.2032213283116,2
125133,2022,5,38.2468611,-122.9056944,11.55,3.61861910957029,2
125506,2022,1,38.6583583,-122.8299306,16.2,3.80824714148154,10
125679,2022,7,39.23185119,-120.0821366,69.9,0.807010909678888,9
125687,2022,6,39.3254722,-120.176,72.85,42.5056335514589,4
125747,2022,12,40.0718611,-122.1619167,42.2,8.14345331628835,4
125788,2022,5,40.54291667,-124.06975,13.88,0.310644894098083,4
