year,state,county_count,mean_frequency_pct,p90_frequency_pct,counties_ge_25_pct,drought_weeks,drought_level,minimum_weeks
2022,ID,44,85.635,100,97.727,1997,D1,4
2022,IL,102,22.401,37.736,40.196,1211,D1,4
2022,IN,92,19.442,24.528,8.696,948,D1,4
2022,KS,105,75.939,100,99.048,4226,D1,4
2022,KY,120,21.211,30.377,26.667,1349,D1,4
2022,LA,64,64.593,76.792,100,2191,D1,4
2022,MA,14,40.027,55.66,85.714,297,D1,4
2022,MD,24,3.931,11.321,0,50,D1,4
2022,ME,16,33.137,54.717,75,281,D1,4
2022,MI,83,13.594,30.189,22.892,598,D1,4
2022,MN,87,39.493,66.792,78.161,1821,D1,4
2022,MO,115,30.747,47.17,73.913,1874,D1,4
2022,MS,82,38.771,64.151,74.39,1685,D1,4
2022,MT,56,79.313,100,94.643,2354,D1,4
2022,NC,100,26.585,56.981,44,1409,D1,4
2022,ND,53,45.71,69.434,96.226,1284,D1,4
2022,NE,93,89.491,100,100,4411,D1,4
2022,NH,10,31.887,49.811,60,169,D1,4
2022,NJ,21,25.966,39.623,33.333,289,D1,4
2022,NM,33,96.97,100,100,1696,D1,4
2022,NV,17,100,100,100,901,D1,4
2022,NY,62,11.412,37.736,11.29,375,D1,4
2022,OH,88,8.919,20.755,0,416,D1,4
2022,OK,77,86.4,100,100,3526,D1,4
2022,OR,36,67.977,100,77.778,1297,D1,4
2022,PA,67,3.83,13.208,0,136,D1,4
2022,RI,5,38.491,39.623,100,102,D1,4
2022,SC,46,31.337,52.83,52.174,764,D1,4
2022,SD,66,68.897,100,95.455,2410,D1,4
2022,TN,95,21.41,35.094,38.947,1078,D1,4
2022,TX,254,87.691,100,98.819,11805,D1,4
2022,UT,29,100,100,100,1537,D1,4
2022,VA,133,4.469,16.981,3.759,315,D1,4
2022,VT,14,13.747,20.755,7.143,102,D1,4
2022,WA,39,48.234,100,53.846,997,D1,4
2022,WI,72,34.277,50.943,75,1308,D1,4
2022,WV,55,0.961,0,0,28,D1,4
2022,WY,23,91.797,100,100,1119,D1,4
2023,AL,67,28.781,38.491,61.194,1022,D1,4
2023,AR,75,19.069,32.075,36,758,D1,4
2023,AZ,15,55.472,69.057,100,441,D1,4
2023,CA,58,24.268,35.849,17.241,746,D1,4
2023,CO,64,32.871,49.811,67.188,1115,D1,4
2023,CT,9,0,0,0,0,D1,4
2023,DC,1,24.528,24.528,0,13,D1,4
2023,DE,3,9.434,12.075,0,15,D1,4
2023,FL,67,38.384,72.453,71.642,1363,D1,4
2023,GA,159,14.228,26.415,11.95,1199,D1,4
2023,IA,99,75.929,100,100,3984,D1,4
2023,ID,44,42.324,88.868,40.909,987,D1,4
